basic/5.in,[1644168, 3905042, 713101041952, 68525334, 1009169066, 8055807, 206017, 206017]
basic/5.in,[2822472, 5092116, 645411690533, 96883208, 1524595693, 14372284, 608007, 608007]
basic/5.in,[1919565, 3986105, 718084357682, 67262807, 1005710104, 8137990, 209976, 209976]
basic/5.in,[1601636, 4013265, 640858415238, 85806019, 1235492224, 11103559, 279848, 279848]
basic/5.in,[1590756, 4005505, 626241528620, 86310723, 1265772025, 10992947, 269607, 269607]
basic/5.in,[1778961, 4225652, 677392139664, 71664896, 1068854459, 8304095, 197296, 197296]
basic/5.in,[1649288, 4089648, 624044261507, 87179849, 1359282776, 15604829, 480804, 480804]
basic/5.in,[1589796, 4042326, 702806353091, 68318618, 1015494822, 8530642, 218376, 218376]
basic/5.in,[1600026, 3966974, 633163925694, 71902489, 1217397803, 11155891, 262717, 262717]
basic/5.in,[1617706, 3911533, 673107949874, 75097408, 1090936831, 8894112, 227067, 227067]
basic/5.in,[1676578, 4181261, 685526509034, 78055776, 1075717841, 9137220, 219026, 219026]
funclen/1.in,[1331719, 5007078, 750152317149, 38181799, 3198981059, 19604214, 638199, 638199]
funclen/1.in,[1305849, 4882354, 746961229812, 33374768, 3391217372, 36825679, 1739661, 1739661]
funclen/1.in,[1249857, 4746850, 788340924777, 36826859, 3061892692, 19164122, 583967, 583967]
funclen/1.in,[1268087, 4787181, 708878892778, 41686138, 3773985720, 23370573, 784563, 784563]
funclen/1.in,[1310679, 4803392, 769590621838, 31787231, 2590449600, 17006538, 568286, 568286]
funclen/1.in,[1357120, 5128551, 780622465242, 31847403, 2632982206, 16053740, 568217, 568217]
funclen/1.in,[1244426, 4492193, 764521662614, 35206302, 2698485755, 15774482, 548256, 548256]
funclen/1.in,[1245137, 4687889, 792488948434, 34175681, 2636385573, 15507069, 511545, 511545]
funclen/1.in,[1286358, 4702069, 889653181420, 30489873, 2611453674, 15624148, 590927, 590927]
funclen/1.in,[1280757, 4769801, 817422859645, 29906364, 2543536690, 15216025, 563167, 563167]
funclen/1.in,[1355030, 5129472, 833845704698, 29787023, 2542844321, 15158044, 526405, 526405]
funclen/1.in,[1262597, 4520674, 856179449997, 30158564, 2516990884, 14352150, 523056, 523056]
funclen/1.in,[1295248, 4743820, 842326780282, 30578816, 2517824858, 15464563, 521175, 521175]
funclen/1.in,[1388121, 5204723, 431317352987, 31929283, 2916976012, 15823472, 523495, 523495]
funclen/1.in,[1330829, 5115352, 781465061708, 33670157, 2682755463, 15168455, 548266, 548266]
funclen/2.in,[1195315, 3490243, 346531274452, 22641629, 1660453115, 10885556, 262318, 262318]
funclen/2.in,[1021410, 3498583, 350800522715, 20120305, 1727955208, 10389952, 262487, 262487]
funclen/2.in,[2310768, 6192661, 353714083871, 23300678, 1644720394, 9828518, 253447, 253447]
funclen/2.in,[999629, 3558515, 325125666814, 27344355, 2007498863, 13828332, 510725, 510725]
funclen/2.in,[992669, 3388789, 318506407052, 24594275, 2153292751, 15507721, 389661, 389661]
funclen/2.in,[1012119, 3491973, 350949160774, 21098343, 1710717727, 9945329, 250647, 250647]
funclen/2.in,[974649, 3208224, 338893255702, 22168764, 1666065169, 9729223, 261658, 261658]
funclen/2.in,[1015340, 3445341, 368675349630, 21014487, 1641575495, 10137787, 261978, 261978]
funclen/2.in,[929047, 3483622, 332806069471, 22746881, 1738502295, 11146164, 281738, 281738]
funclen/2.in,[971238, 3424221, 313258455325, 28677623, 2302762307, 14586093, 486034, 486034]
funclen/2.in,[955718, 3380900, 323533243729, 25240874, 2052035968, 13763830, 318999, 318999]
funclen/2.in,[1024340, 3676098, 345225385236, 22145263, 1695835253, 10566298, 394961, 394961]
funclen/2.in,[1018709, 3422691, 353123049310, 21564056, 1630332561, 10350350, 278218, 278218]
funclen/2.in,[991959, 3412600, 324094004921, 25505722, 2033550661, 13895793, 363491, 363491]
funclen/2.in,[1040701, 3660567, 367574665973, 22301814, 1655233845, 10405975, 268648, 268648]
funclen/3.in,[786023, 2982368, 240742827352, 13185374, 722331787, 10760163, 184026, 184026]
funclen/3.in,[799043, 3019529, 210088569758, 17339734, 931477731, 12414621, 194325, 194325]
funclen/3.in,[800314, 2931136, 225334716625, 14113510, 783429185, 10560897, 182395, 182395]
funclen/3.in,[804653, 3201615, 232042435835, 16477369, 802579701, 10531296, 171215, 171215]
funclen/3.in,[820754, 2990028, 228824573553, 14050629, 740475755, 11462473, 170305, 170305]
